Date,Spread,CRUDOIL,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-03-09,-0.8789970122504513,64.01,597.5,4.296162401690981,0.10860083181966602,-1.0,-1.0,0.10860083181966602,-0.006717700359318846,4.578376781130483
2021-03-10,-0.4316181909433823,64.44,597.5,4.276409965987838,0.10857174592626506,1.0,1.0,-0.10857174592626506,0.028126606121676143,4.606503387252159
2021-03-11,3.2037386366369844,66.03,578.5,4.271366528070082,0.10860200754254627,1.0,1.0,-0.10860200754254627,-0.010772408343600371,4.595730978908559
2021-03-12,0.23513673321166095,65.61,602.0,4.268994133955019,0.10859611838336934,-1.0,-1.0,0.10859611838336934,0.002090401823471857,4.597821380732031
2021-03-15,0.771402565947227,65.39,595.0,4.2687686192487195,0.1086026847631139,-1.0,-1.0,0.1086026847631139,0.008869857776418355,4.60669123850845
2021-03-16,0.19254996842803962,64.81,595.0,4.268028523254633,0.10860075635558314,-1.0,-1.0,0.10860075635558314,0.0008956761721628705,4.6075869146806125
2021-03-17,1.295692971969089,64.61,583.0,4.254917166101988,0.10860086968787463,-1.0,-1.0,0.10860086968787463,0.06672570446898822,4.6743126191496005
2021-03-18,-0.6834706438302831,60.01,559.0,4.246796965113168,0.10857508165264809,-1.0,-1.0,0.10857508165264809,-0.0034961564753983273,4.670816462674202
2021-03-19,1.273824153707828,60.01,541.0,4.218003779861447,0.10856964112068793,1.0,1.0,-0.10856964112068793,0.024895492400009024,4.695711955074211
2021-03-22,2.7184179022380803,61.51,541.5,4.179952535127678,0.10857171209189644,-1.0,-1.0,0.10857171209189644,0.05857054416236138,4.754282499236572
2021-03-23,0.6716759970762283,57.71,525.5,4.144114842524159,0.1085410542396266,-1.0,-1.0,0.1085410542396266,-0.05265228548710281,4.701630213749469
2021-03-24,0.6332171911470823,61.13,557.5,4.103426337641731,0.10851440862574514,-1.0,-1.0,0.10851440862574514,0.042859479797153655,4.744489693546623
2021-03-25,-1.9580232798156558,58.51,557.5,4.084226106364837,0.10846282202657516,-1.0,-1.0,0.10846282202657516,0.00116731288279722,4.745657006429421
2021-03-26,-2.5699951170550435,58.51,563.5,4.0352709940536435,0.10839395761677913,1.0,1.0,-0.10839395761677913,0.0463570894363312,4.792014095865752
2021-03-29,-2.729324558337879,61.56,593.5,3.993222382671993,0.10832236656838734,1.0,1.0,-0.10832236656838734,-0.01731933022596849,4.774694765639783
2021-03-30,-4.225433741628578,60.55,598.5,3.9543967763787338,0.10822963031182718,1.0,1.0,-0.10822963031182718,-0.02255839794769507,4.752136367692088
2021-03-31,-5.318859405683227,59.16,596.3,3.9413228138052956,0.1081315770680584,1.0,1.0,-0.1081315770680584,-0.0003989425952536131,4.751737425096834
2021-04-01,-5.500596795417408,59.16,598.5,3.9385901949302307,0.10803775571498313,1.0,1.0,-0.10803775571498313,0.0,4.751737425096834
2021-04-02,-5.446218132471074,59.16,598.5,3.9381538781688104,0.10794689746444623,1.0,1.0,-0.10794689746444623,-0.008620689655172376,4.743116735441661
2021-04-05,-5.89884362138573,58.65,598.5,3.9407918544106475,0.1078510336196921,1.0,1.0,-0.1078510336196921,0.012134809583361219,4.755251545025022
2021-04-06,-4.8505318077566955,59.33,595.5,3.944394813695436,0.10777587205332778,1.0,1.0,-0.10777587205332778,0.009316477212265393,4.764568022237287
2021-04-07,-3.357351720400196,59.77,585.0,2.0609763552486733,0.10791000294085504,1.0,1.0,-0.10791000294085504,-0.001737466977983989,4.7628305552593035
2021-04-08,-2.8638968794562345,59.6,579.0,2.0534002543562995,0.10788237803014894,1.0,1.0,-0.10788237803014894,0.005030784467727158,4.76786133972703
2021-04-09,0.0490980495181077,59.6,552.0,2.053600965077277,0.107882068750873,1.0,1.0,-0.107882068750873,0.001677852348993314,4.7695391920760235
2021-04-12,0.1463198569444728,59.7,552.0,2.0534090967351273,0.10788710170843394,-1.0,-1.0,0.10788710170843394,-0.007649305708980064,4.761889886367044
2021-04-13,0.4101253268412961,60.18,554.0,2.0524347340176554,0.10788786042086408,-1.0,-1.0,0.10788786042086408,-0.04545707556024602,4.716432810806798
2021-04-14,1.2107580462998087,63.15,574.0,2.053429494163026,0.10790808702735225,-1.0,-1.0,0.10790808702735225,-0.003780987853855419,4.712651822952942
2021-04-15,0.8638597095053129,63.46,580.0,2.052620410234571,0.10792437981119773,-1.0,-1.0,0.10792437981119773,0.037088194634840206,4.749740017587783
2021-04-16,-1.6731920373453804,61.13,582.0,2.0504190406598704,0.10790926466897832,-1.0,-1.0,0.10790926466897832,-0.037177627384668656,4.712562390203114
2021-04-19,0.787743978681398,63.38,580.0,2.0523703133253592,0.1079176827953769,1.0,1.0,-0.1079176827953769,-0.007667037573697546,4.704895352629417
2021-04-20,2.1210855731451517,62.67,561.0,2.043235017324221,0.10793032874662184,-1.0,-1.0,0.10793032874662184,0.01971598518573924,4.724611337815156
2021-04-21,1.552430398770376,61.35,554.0,2.0385346767028203,0.10793785126575745,-1.0,-1.0,0.10793785126575745,-0.0018904078683170565,4.7227209299468385
