Date,Spread,CRUDOIL,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-03-08,-2.5224775258999586,65.06,2.023,4.2514958218813055,33.40705760054372,1.0,1.0,-33.40705760054372,0.33064711639477984,26.76257672747879
2021-03-09,-2.835427693958664,64.01,2.002,4.252927779438587,33.38932452245688,1.0,1.0,-33.38932452245688,-0.7771475606574024,25.98542916682139
2021-03-10,-3.921035416695503,64.44,2.049,4.246354773778435,33.36312123801635,1.0,1.0,-33.36312123801635,-1.1151104070723845,24.870318759749004
2021-03-11,-4.601925996932252,66.03,2.119,4.240175878879842,33.33266918212942,1.0,1.0,-33.33266918212942,-1.4535554429714004,23.416763316777605
2021-03-12,-7.99125298907974,65.61,2.211,4.271208254351574,33.28867163685199,1.0,1.0,-33.28867163685199,0.6741639144223165,24.09092723119992
2021-03-15,-6.639308007777288,65.39,2.166,4.292702717757921,33.25452816610217,1.0,1.0,-33.25452816610217,0.589895884826531,24.680823116026453
2021-03-16,-5.866375109499543,64.81,2.127,4.306857150627901,33.22819704254798,1.0,1.0,-33.22819704254798,0.7780188294522665,25.45884194547872
2021-03-17,-4.3553801702492905,64.61,2.077,4.313870927967979,33.204323625541306,1.0,1.0,-33.204323625541306,2.102991367893195,27.561833313371917
2021-03-18,-4.394460079835262,60.01,1.941,4.3193453466824465,33.181071653701835,1.0,1.0,-33.181071653701835,0.8718365040385372,28.433669817410454
2021-03-19,-2.671854690041023,60.01,1.89,4.315342205441868,33.16500248150319,1.0,1.0,-33.16500248150319,-0.2908613324628433,28.14280848494761
2021-03-22,-1.7352559274653672,61.51,1.908,4.281152007892548,33.14740876701539,1.0,1.0,-33.14740876701539,0.9458470607890492,29.08865554573666
2021-03-23,-3.560409166839463,57.71,1.85,4.228793805579833,33.11914009018349,1.0,1.0,-33.11914009018349,-1.9278865790377657,27.160768966698896
2021-03-24,-3.7692478550228756,61.13,1.961,4.220613602262238,33.09497595870621,1.0,1.0,-33.09497595870621,1.0203651430475684,28.181134109746466
2021-03-25,-4.258133617313717,58.51,1.898,4.216379143686691,33.07067103125064,1.0,1.0,-33.07067103125064,-0.4704468481790186,27.710687261567447
2021-03-26,-5.097235040249828,58.51,1.925,4.217536089823016,33.04271950142848,1.0,1.0,-33.04271950142848,-0.5658139259048068,27.14487333566264
2021-03-29,-3.194957780468016,61.56,1.961,4.204110284572491,33.0213961144661,1.0,1.0,-33.0213961144661,0.33721349652314814,27.48208683218579
2021-03-30,-3.4684352495096817,60.55,1.94,4.191183754497644,32.99919342758231,1.0,1.0,-32.99919342758231,0.011063552521816344,27.493150384707604
2021-03-31,-4.747549829962473,59.16,1.938,4.197120322592545,32.9760319040054,1.0,1.0,-32.9760319040054,-1.0039142839712705,26.489236100736335
2021-04-01,-6.635233841543908,59.16,1.997,4.216060759149413,32.94703747698743,1.0,1.0,-32.94703747698743,0.0,26.489236100736335
2021-04-02,-6.577838357219505,59.16,1.997,4.234288611210811,32.91829662354507,1.0,1.0,-32.91829662354507,0.930960135353378,27.420196236089712
2021-04-05,-5.169343832887954,58.65,1.94,4.245024865018675,32.89656898602472,1.0,1.0,-32.89656898602472,-0.20884672329645948,27.21134951279325
2021-04-06,-4.883002017452,59.33,1.953,4.253519570706319,32.87916129925858,1.0,1.0,-32.87916129925858,0.3946259318608526,27.605975444654103
2021-04-07,-3.7892496564347624,59.77,1.93,2.383603268547288,32.93225370799729,1.0,1.0,-32.93225370799729,-0.29292108237153697,27.313054362282564
2021-04-08,-4.495971386476775,59.6,1.947,2.367352761846924,32.920375647907946,1.0,1.0,-32.920375647907946,-0.15217430962052605,27.160880052662037
2021-04-09,-4.77139664230841,59.6,1.956,2.3468288083471767,32.909711984820255,1.0,1.0,-32.909711984820255,-0.06562217215984362,27.095257880502192
2021-04-12,-4.774766155857421,59.7,1.96,2.3541950237759206,32.8952888550293,1.0,1.0,-32.8952888550293,-0.15979290539818394,26.935464975104008
2021-04-13,-4.597380120774524,60.18,1.97,2.3595438359730068,32.88191884303275,1.0,1.0,-32.88191884303275,-0.751831865205886,26.18363310989812
2021-04-14,-3.196084867147299,63.15,2.018,2.332377756078841,32.87714810066765,1.0,1.0,-32.87714810066765,-0.3535138767423988,25.830119233155724
2021-04-15,-3.599862828530071,63.46,2.04,2.292260377521669,32.87248177869121,1.0,1.0,-32.87248177869121,0.14053753661742752,25.97065676977315
2021-04-16,-5.542936645289309,61.13,2.029,2.276272199830257,32.85999834661869,1.0,1.0,-32.85999834661869,0.03680680516931134,26.007463574942463
2021-04-19,-3.2748192255442987,63.38,2.029,2.2782853298183845,32.851069110667474,1.0,1.0,-32.851069110667474,0.458330011976768,26.46579358691923
2021-04-20,-3.0156997388567817,62.67,2.0,2.281077695907551,32.84284986942839,1.0,1.0,-32.84284986942839,0.8656942370442179,27.331487823963446
2021-04-21,-2.5574486463279484,61.35,1.946,2.2695873970343654,32.84041554282012,1.0,1.0,-32.84041554282012,-0.116338000126178,27.21514982383727
2021-04-22,-2.6656338823436485,61.46,1.953,2.2715540951905577,32.83442595102081,1.0,1.0,-32.83442595102081,-0.22430812230348934,26.99084170153378
2021-04-23,-2.4347214417596774,62.14,1.967,2.272806980687821,32.82903987888138,1.0,1.0,-32.82903987888138,0.346786650636269,27.337628352170046
2021-04-26,-1.9740595147004214,61.91,1.946,2.2642533614987177,32.82839646181933,1.0,1.0,-32.82839646181933,-0.8099772456105742,26.52765110655947
2021-04-27,-2.5467827403309116,62.94,1.995,2.258636981268405,32.82545500768467,1.0,1.0,-32.82545500768467,-0.6599912528822113,25.86765985367726
2021-04-28,-2.9623363787721644,63.86,2.036,2.255439699805008,32.82040097189203,1.0,1.0,-32.82040097189203,-0.7073936468413966,25.160266206835864
2021-04-29,-3.266056222832731,65.01,2.081,2.263960192985318,32.80925335071251,1.0,1.0,-32.80925335071251,0.3879219747331574,25.54818818156902
2021-04-30,-3.810951521830958,63.58,2.055,2.2750628397191903,32.793650375586836,1.0,1.0,-32.793650375586836,-0.5920905903433494,24.95609759122567
2021-05-03,-4.112769412704736,64.49,2.093,2.2885582264095996,32.77724291099127,1.0,1.0,-32.77724291099127,-0.8270547272988445,24.129042863926827
2021-05-04,-4.640306706845834,65.69,2.147,2.3047047545286405,32.75747867109727,1.0,1.0,-32.75747867109727,0.22794650721494583,24.356989371141772
2021-05-05,-4.1717518696690234,65.63,2.132,2.3174672853127967,32.74003370997609,1.0,1.0,-32.74003370997609,0.3698942355907556,24.726883606732528
2021-05-06,-4.237223191192271,64.71,2.107,2.330773072028443,32.72293459477563,1.0,1.0,-32.72293459477563,-0.21449196005360724,24.51239164667892
2021-05-07,-4.46149583739772,64.9,2.121,2.3409922266945635,32.702261120885304,1.0,1.0,-32.702261120885304,0.04656313263459448,24.558954779313517
2021-05-10,-4.299642514905614,64.92,2.118,2.3478454830448237,32.681606475403974,1.0,1.0,-32.681606475403974,-0.2876324864079238,24.271322292905595
2021-05-11,-4.515301415019465,65.28,2.137,2.3566969110612637,32.6604124543844,1.0,1.0,-32.6604124543844,-0.5226606038433605,23.748661689062235
2021-05-12,-4.809509305228119,66.08,2.172,2.367377575561133,32.63789562855806,1.0,1.0,-32.63789562855806,1.0777715344757555,24.82643322353799
