Date,Spread,CRUDOIL,ETHANYH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-09-05,-1.1392841784310974,56.3,1.49,8.85446811162485,38.54985515330946,1.0,1.0,-38.54985515330946,1.038803078012721,7.068497531159298
2019-09-06,0.6849256144397984,56.52,1.45,8.78711350558278,38.506947852110486,1.0,1.0,-38.506947852110486,0.02353149327671611,7.092029024436014
2019-09-09,2.069311536824266,57.85,1.45,8.73062456176079,38.46944031943154,-1.0,-1.0,38.46944031943154,0.007778738115816863,7.099807762551831
2019-09-10,1.68178100443469,57.4,1.45,8.656166542892754,38.42635792797608,-1.0,-1.0,38.42635792797608,0.028745644599303066,7.128553407151134
2019-09-11,0.10488685283763033,55.75,1.45,8.565084919094346,38.37594010149129,-1.0,-1.0,38.37594010149129,0.011838565022421421,7.140391972173556
2019-09-12,-0.4806974587778825,55.09,1.45,8.475128711072703,38.324618937088196,-1.0,-1.0,38.324618937088196,1.3258950915706542,8.466287063744211
2019-09-13,-2.556186300700965,54.85,1.5,8.393082036880665,38.270790867133975,1.0,1.0,-38.270790867133975,0.1467639015496809,8.613050965293892
2019-09-16,5.544383642682398,62.9,1.5,8.333257770775717,38.237077571545065,1.0,1.0,-38.237077571545065,-0.05659777424483303,8.556453191049059
2019-09-17,2.0514524749512617,59.34,1.5,8.255305511416012,38.19236501669916,-1.0,-1.0,38.19236501669916,0.02072800808897879,8.577181199138037
2019-09-18,0.9008273590398801,58.11,1.5,8.15273662496782,38.139448427306746,-1.0,-1.0,38.139448427306746,-0.00034417484081927796,8.576837024297218
2019-09-19,0.9997700257563125,58.13,1.5,8.050560398666464,38.08681998282913,-1.0,-1.0,38.08681998282913,0.25460024606936577,8.831437270366584
2019-09-20,0.6642755630703263,58.09,1.51,7.93355668338225,38.03028108405939,-1.0,-1.0,38.03028108405939,-0.007746600103287982,8.823690670263296
2019-09-23,1.1900831197125399,58.54,1.51,7.840041161622623,37.98007740416388,-1.0,-1.0,37.98007740416388,0.023402801503245585,8.847093471766541
2019-09-24,-0.09948530977263204,57.17,1.51,7.746114354089887,37.92681146342559,-1.0,-1.0,37.92681146342559,0.014693020815112923,8.861786492581654
2019-09-25,-0.855963695712056,56.33,1.51,7.6499667337422,37.87149913623315,1.0,1.0,-37.87149913623315,0.0014202023788389972,8.863206694960493
2019-09-26,-0.6903900888872272,56.41,1.51,7.546409333184278,37.81482787343525,1.0,1.0,-37.81482787343525,-0.2592930003182111,8.603913694642282
2019-09-27,-1.4855734170858028,55.91,1.52,7.4585625559637885,37.760245669135394,1.0,1.0,-37.760245669135394,-0.03291003398318715,8.571003660659095
2019-09-30,-3.243416755413385,54.07,1.52,7.3873777954578586,37.706195233824594,1.0,1.0,-37.706195233824594,-0.00832254484926953,8.562681115809825
2019-10-01,-3.6090695266313233,53.62,1.52,7.315838070116096,37.65070363594166,1.0,1.0,-37.65070363594166,-0.018276762402088753,8.544404353407737
2019-10-02,-4.499206722488893,52.64,1.52,7.238733308366571,37.59158337005848,1.0,1.0,-37.59158337005848,-0.0036094224924011487,8.540794930915336
2019-10-03,-4.598161397744022,52.45,1.52,7.159563840056601,37.53168513009475,1.0,1.0,-37.53168513009475,-2.4623261314955003,6.078468799419836
2019-10-04,-7.886180181147012,52.81,1.62,7.098709168875365,37.46677788959692,1.0,1.0,-37.46677788959692,-0.0011361484567317115,6.077332650963104
2019-10-07,-7.845366810088628,52.75,1.62,7.0461168443320785,37.40454741363495,1.0,1.0,-37.40454741363495,-0.0022748815165876124,6.075057769446516
2019-10-08,-7.860408084480582,52.63,1.62,6.98203995529341,37.339758076839864,1.0,1.0,-37.339758076839864,-0.0007600228006839904,6.074297746645833
2019-10-09,-7.794593055479901,52.59,1.62,6.91515981744612,37.274440157703644,1.0,1.0,-37.274440157703644,0.01825442099258412,6.0925521676384164
2019-10-10,-6.745641282324478,53.55,1.62,6.872225957623712,37.219531655755844,1.0,1.0,-37.219531655755844,-4.343778455942726,1.7487737116956907
2019-10-11,-12.52841068797413,54.7,1.81,6.835283691480614,37.14276833589731,1.0,1.0,-37.14276833589731,-0.020292504570383896,1.7284812071253068
2019-10-14,-13.49117420334504,53.59,1.81,6.796594676272407,37.06142221179284,1.0,1.0,-37.06142221179284,-0.014554954282515409,1.7139262528427914
2019-10-15,-14.116973804111993,52.81,1.81,6.750382919529769,36.97622862105635,1.0,1.0,-36.97622862105635,0.01041469418670693,1.7243409470294984
2019-10-16,-13.418983684597038,53.36,1.81,6.7050967177133085,36.89446612408676,1.0,1.0,-36.89446612408676,0.010682158920539697,1.735023105950038
2019-10-17,-12.708585690089201,53.93,1.81,6.663431237896976,36.81689817132,1.0,1.0,-36.81689817132,-0.00278138327461519,1.7322417226754228
2019-10-18,-12.721712262280363,53.78,1.81,6.627796273311755,36.74127749297258,1.0,1.0,-36.74127749297258,-0.0087393082930457,1.7235024143823772
2019-10-21,-13.059705438050145,53.31,1.81,6.604008894208002,36.66834554588406,1.0,1.0,-36.66834554588406,0.02194710185706228,1.7454495162394394
2019-10-22,-11.769513946926288,54.48,1.81,6.584456648426357,36.601941407141595,1.0,1.0,-36.601941407141595,0.024045521292217265,1.7694950375316567
2019-10-23,-10.34737921313613,55.79,1.81,6.561663967142787,36.53998851554482,1.0,1.0,-36.53998851554482,0.004839576985122829,1.7743346145167795
2019-10-24,-9.971058794527806,56.06,1.81,6.54275525140032,36.48124795277779,1.0,1.0,-36.48124795277779,3.836658478033768,5.610993092550547
