Date,Spread,WHEATSF,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-07-05,0.05430995965246144,5.22,2.107,0.39434075725534135,2.45168013305531,1.0,1.0,-2.45168013305531,0.061046259831191746,0.8311112177973236
2018-07-06,0.2454396464009463,5.32,2.071,0.3920086565471271,2.4502947144370126,-1.0,-1.0,2.4502947144370126,0.06166686783771952,0.8927780856350431
2018-07-09,0.0788981172272516,5.25,2.112,0.38843486847775216,2.4484383914643693,-1.0,-1.0,2.4484383914643693,0.04322847376506783,0.936006559400111
2018-07-10,-0.10310036990140592,5.09,2.123,0.3836458557173244,2.4461141638725414,-1.0,-1.0,2.4461141638725414,-0.0558669353514802,0.8801396240486308
2018-07-11,-0.10829214441035528,4.87,2.037,0.3795029332441768,2.4439333060433754,1.0,1.0,-2.4439333060433754,0.02309473249995266,0.9032343565485834
2018-07-12,0.017401464086918672,5.0,2.04,0.37785911077094286,2.442450262702491,1.0,1.0,-2.442450262702491,-0.005129268054051221,0.8981050884945322
2018-07-13,0.08679376613480994,5.13,2.066,0.3761429363940456,2.441048515907643,-1.0,-1.0,2.441048515907643,-0.08997570228098135,0.8081293862135508
2018-07-16,0.22103104715865918,5.04,1.975,0.37540321450372105,2.439984279919666,-1.0,-1.0,2.439984279919666,-0.00426735699429912,0.8038620292192517
2018-07-17,0.285862072607709,5.13,1.986,0.3754744979641148,2.439142964447276,-1.0,-1.0,2.439142964447276,0.0451493504280117,0.8490113796472634
2018-07-18,0.17949822080451305,5.1,2.018,0.37572265743358685,2.4383061343882493,-1.0,-1.0,2.4383061343882493,-0.0034657958208706287,0.8455455838263928
2018-07-19,0.20576304561920455,5.13,2.02,0.37652530062823275,2.437741066525146,-1.0,-1.0,2.437741066525146,0.00027995002054797755,0.8458255338469407
2018-07-20,0.27285435637061717,5.24,2.038,0.3775195297539087,2.437264790789688,-1.0,-1.0,2.437264790789688,0.04758204445973367,0.8934075783066744
2018-07-23,0.15903532391482766,5.21,2.073,0.3779048795572775,2.4365483242089594,-1.0,-1.0,2.4365483242089594,0.010459649573347746,0.9038672278800222
2018-07-24,0.12077511846308475,5.18,2.077,0.3783079748350704,2.4358328750779563,-1.0,-1.0,2.4358328750779563,-0.03480246710740863,0.8690647607726135
