Date,Spread,EIAEBRT,BFO1MEU,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-06-26,0.8010898458968114,66.85,66.5,1.0417147137946612,0.9932166940466644,-1.0,-1.0,0.9932166940466644,1.6291619568615037e-06,0.23170985495444768
2019-06-27,0.7953919667048126,66.78,66.43,1.0415426992425563,0.993295318881457,-1.0,-1.0,0.993295318881457,-0.004502057097449276,0.2272077978569984
2019-06-28,1.090963576270724,67.52,66.87,1.0414977834095869,0.9934056590956971,-1.0,-1.0,0.9934056590956971,0.008209491149007535,0.23541728900600595
2019-07-01,0.5138684964483815,65.1,65.01,1.0398961553586599,0.9934799492932104,-1.0,-1.0,0.9934799492932104,0.006912145451323168,0.24232943445732913
2019-07-02,0.057442186164379905,62.72,63.07,1.0372775795303584,0.9935398416653817,-1.0,-1.0,0.9935398416653817,-0.011024184371109464,0.23130525008621966
2019-07-03,0.741522166525094,63.53,63.19,1.0346019239444182,0.9936457957505129,-1.0,-1.0,0.9936457957505129,0.004244249860373656,0.23554949994659333
2019-07-04,0.4691392242874386,63.62,63.55,1.0327598235992477,0.9937192883668381,-1.0,-1.0,0.9937192883668381,-0.0013006704103595973,0.23424882953623372
2019-07-05,0.5466515820387556,64.23,64.08,1.0300801770562813,0.9938100564600695,-1.0,-1.0,0.9938100564600695,-3.970079450643128e-05,0.23420912874172728
2019-07-08,0.5453276118509649,64.89,64.74,1.0280406013629917,0.9938936111854964,-1.0,-1.0,0.9938936111854964,3.4583300758297963e-05,0.23424371204248556
2019-07-09,0.5377139904064165,64.3,64.15,1.027225296305272,0.9939561342103441,-1.0,-1.0,0.9939561342103441,-0.0016714876186264167,0.23257222442385914
2019-07-10,0.6471172384088817,66.41,66.16,1.02761469177926,0.9939976233614135,-1.0,-1.0,0.9939976233614135,-0.0059010228176903014,0.22667120160616883
2019-07-11,1.0383619091334282,67.64,67.0,1.029248758575622,0.9940542998636802,-1.0,-1.0,0.9940542998636802,0.01166898360756328,0.2383401852137321
2019-07-12,0.24666573125637115,66.65,66.8,1.0292568376198103,0.9940618902506532,-1.0,-1.0,0.9940618902506532,-0.0037460343377926776,0.23459415087593943
2019-07-15,0.4960078811362081,66.86,66.76,1.0295381100927272,0.9940681863221058,-1.0,-1.0,0.9940681863221058,0.013466943638080708,0.24806109451402014
2019-07-16,-0.40117486993629825,65.87,66.67,1.0299392689473288,0.9940179221529369,-1.0,-1.0,0.9940179221529369,-0.004471069846801429,0.2435900246672187
2019-07-17,-0.07450176742579373,63.67,64.13,1.029946994474446,0.9939888003652861,1.0,1.0,-0.9939888003652861,-0.010842716146413946,0.23274730852080477
2019-07-18,-0.7454239947834722,60.7,61.82,1.0312961903790634,0.9939408604785421,1.0,1.0,-0.9939408604785421,-0.001955333683482447,0.23079197483732233
2019-07-19,-0.8693964750065106,61.04,62.29,1.033038344702121,0.9938898133730376,1.0,1.0,-0.9938898133730376,0.00039270310717746254,0.2311846779444998
2019-07-22,-0.8603052506324431,61.96,63.21,1.0347568940642766,0.9938349193265693,1.0,1.0,-0.9938349193265693,0.005007394854105041,0.23619207279860482
2019-07-23,-0.5501794749190836,62.28,63.22,1.0346009274981618,0.9938339050129561,1.0,1.0,-0.9938339050129561,0.00916735911250199,0.24535943191110682
2019-07-24,0.0015108877472584936,63.83,64.22,1.0310900622854893,0.9939035987582177,1.0,1.0,-0.9939035987582177,0.0013244632010770375,0.24668389511218386
2019-07-25,0.08216782302267944,63.47,63.77,1.024748152305843,0.9940070907476449,-1.0,-1.0,0.9940070907476449,0.00796346703233578,0.25464736214451966
2019-07-26,-0.4242798496114446,62.46,63.26,1.021101550950867,0.994060699488009,-1.0,-1.0,0.994060699488009,0.007278770097745629,0.2619261322422653
2019-07-29,-0.8845132193896674,62.29,63.55,1.01866438342062,0.9940914747346918,1.0,1.0,-0.9940914747346918,-0.003647308673741566,0.2582788235685237
2019-07-30,-1.1232677058263576,62.55,64.05,1.01646259172574,0.9941181530964303,1.0,1.0,-0.9941181530964303,0.014056719098905348,0.27233554266742904
2019-07-31,-0.26451543962782864,64.07,64.71,1.0109138897999526,0.9941974260489543,1.0,1.0,-0.9941974260489543,-0.0005928013776849844,0.27174274128974407
