Date,Spread,WHEATSF,NATBGAS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-06-04,-2.0985605399609852,7.01,0.8887261200000001,2.0240125442863133,10.249007354437815,1.0,1.0,-10.249007354437815,-0.29244448733492867,-6.215510191210361
2021-06-07,-2.4000174871949156,6.93,0.913095375,2.0131231061342523,10.218009796835204,1.0,1.0,-10.218009796835204,-0.5011212454764067,-6.716631436686768
2021-06-08,-2.7796322275191887,6.98,0.958521,2.0037099866650006,10.181970168122753,1.0,1.0,-10.181970168122753,-0.21781220834507087,-6.934443645031839
2021-06-09,-2.9682263672179188,6.96,0.978755895,1.9941975420671219,10.1437206334455,1.0,1.0,-10.1437206334455,-0.1562409778251244,-7.090684622856964
2021-06-10,-3.0730382639230163,6.97,0.99397004,1.9862762610556228,10.103964767311313,1.0,1.0,-10.103964767311313,0.39370483751508806,-6.696979785341876
2021-06-11,-2.675192213046647,6.94,0.9548161999999999,1.976483105579344,10.070202215930824,1.0,1.0,-10.070202215930824,-0.3967265384121969,-7.0937063237540725
2021-06-14,-3.067475444871392,6.88,0.9916124850000001,1.9661623127587688,10.031615772638634,1.0,1.0,-10.031615772638634,0.20056837952026602,-6.893137944233806
2021-06-15,-2.9279149265289686,6.77,0.970206125,1.9561654456449054,9.995726347871663,1.0,1.0,-9.995726347871663,0.06139547739949576,-6.83174246683431
2021-06-16,-2.8006520634760443,6.81,0.9648204349999999,1.9472536702278282,9.961078471017299,1.0,1.0,-9.961078471017299,0.004770032864191975,-6.826972433970118
2021-06-17,-2.9674239664950584,6.57,0.96094488,1.9386190871422806,9.925047903366798,1.0,1.0,-9.925047903366798,-0.28096716196585353,-7.107939595935972
2021-06-18,-2.995768171678562,6.81,0.99168498,1.9288268684472132,9.88798698118687,1.0,1.0,-9.88798698118687,-0.1700880318294517,-7.2780276277654234
2021-06-21,-3.1342019420331644,6.8,1.0085961600000002,1.9194654953379193,9.849533773788275,1.0,1.0,-9.849533773788275,-0.35586429363162,-7.633891921397043
2021-06-22,-3.5583407298295846,6.67,1.0430791499999998,1.9113613670370495,9.805910442970301,1.0,1.0,-9.805910442970301,-0.28372067673643636,-7.91761259813348
2021-06-23,-3.7538186835984018,6.73,1.0742161000000001,1.9042283817316314,9.759506195818886,1.0,1.0,-9.759506195818886,-0.2042755521830398,-8.12188815031652
2021-06-24,-4.003080155545262,6.63,1.09506495,1.8984038507757317,9.70999953522872,1.0,1.0,-9.70999953522872,-0.16942268298504015,-8.29131083330156
2021-06-25,-4.26347656585365,6.47,1.1114503199999999,1.8912679135994275,9.657180687890442,1.0,1.0,-9.657180687890442,0.06454384508011532,-8.226766988221446
2021-06-28,-4.070259019324266,6.55,1.1054449999999998,1.8810002597992401,9.607225162106001,1.0,1.0,-9.607225162106001,-0.31749687875181354,-8.544263866973258
2021-06-29,-4.425438681474483,6.47,1.1405720750000001,1.8703900928329504,9.55260866041673,1.0,1.0,-9.55260866041673,-0.3346612302486603,-8.878925097221918
2021-06-30,-4.485293956106482,6.78,1.1862511150000001,1.8582747790852001,9.496550783942977,1.0,1.0,-9.496550783942977,-0.41357947568214143,-9.29250457290406
2021-07-01,-5.053546726376807,6.59,1.2344123999999999,1.8501837428061136,9.432460923413284,1.0,1.0,-9.432460923413284,0.04680170852406575,-9.245702864379993
2021-07-02,-5.016063706110766,6.47,1.22590449,1.8400574359596706,9.36946050838819,0.0,0.0,-0.0,0.0,-9.245702864379993
2021-07-05,-5.527817183725953,6.47,1.29025802,1.8340025229873067,9.298773576874146,0.0,0.0,-0.0,0.0,-9.245702864379993
2021-07-06,-4.4674140074463375,6.2,1.15364563,1.8197120116991778,9.24669909896537,0.0,0.0,-0.0,0.0,-9.245702864379993
2021-07-07,-3.8867337416248517,6.16,1.0915913250000002,1.8007312363389514,9.203750077094877,1.0,1.0,-9.203750077094877,-0.33426651585742667,-9.57996938023742
2021-07-08,-4.23084504269102,6.12,1.1304661500000002,1.7836384780801715,9.15626269985264,1.0,1.0,-9.15626269985264,-0.9349365538300071,-10.514905934067427
2021-07-09,-5.234740251314324,6.09,1.24529167,1.7728259000134852,9.094046418309635,1.0,1.0,-9.094046418309635,0.5295053523420368,-9.98540058172539
2021-07-12,-4.357804684587186,6.29,1.1772809850000001,1.7569043911203073,9.04440385961656,0.0,0.0,-0.0,-0.0,-9.98540058172539
2021-07-13,-4.621537358496247,6.22,1.2057610500000002,1.7408759095653867,8.991447649180776,1.0,1.0,-8.991447649180776,0.20463575819085517,-9.780764823534534
2021-07-14,-4.158350131379434,6.42,1.1826311400000002,1.7204054067209154,8.944758660235712,0.0,0.0,-0.0,0.0,-9.780764823534534
2021-07-15,-3.6730975296776993,6.59,1.15259745,1.6987917100046845,8.904320870810272,1.0,1.0,-8.904320870810272,-0.17282979067978022,-9.953594614214314
2021-07-16,-3.659020122781185,6.79,1.1788974200000002,1.6765788153709715,8.863383654517781,1.0,1.0,-8.863383654517781,-0.2126024512290892,-10.166197065443404
