Date,Spread,CRUDOIL,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-11-07,5.213865785883321,61.67,1.647,2.2651197925407676,34.278162850101204,-1.0,-1.0,34.278162850101204,-0.004597145322090306,-2.2031959316698844
2018-11-08,4.229836961055305,60.67,1.646,2.265817392433306,34.28928495683153,-1.0,-1.0,34.28928495683153,-0.8878594604902174,-3.0910553921601016
2018-11-09,5.206560275323021,60.19,1.603,2.2690373674355295,34.30033669661695,-1.0,-1.0,34.30033669661695,-0.12406588529768209,-3.2151212774577838
2018-11-12,5.134896942613196,59.93,1.597,2.272001537552153,34.311273047831435,-1.0,-1.0,34.311273047831435,-1.8199158071243384,-5.035037084582122
2018-11-13,3.9012078911833825,55.69,1.509,2.2722003627939182,34.319941755345674,-1.0,-1.0,34.319941755345674,0.17189233606372525,-4.863144748518397
2018-11-14,4.170170648511338,56.25,1.517,2.2727641166310715,34.33080379135706,-1.0,-1.0,34.33080379135706,-0.2074098225371617,-5.070554571055559
2018-11-15,4.673589889339269,56.46,1.508,2.2744894418809447,34.34112076303762,-1.0,-1.0,34.34112076303762,0.6376335420192663,-4.432921029036293
2018-11-16,3.697720426013852,56.46,1.536,2.274649712668631,34.350442430980564,-1.0,-1.0,34.350442430980564,0.05398408371431235,-4.37893694532198
2018-11-19,4.319655377985676,57.2,1.539,2.275576882251833,34.360197935032055,-1.0,-1.0,34.360197935032055,-1.0912131065258863,-5.470150051847867
2018-11-20,2.1085077654843545,53.21,1.487,2.2763241013724875,34.36549578649337,-1.0,-1.0,34.36549578649337,0.2872986708966039,-5.182851380951263
2018-11-21,-1.2233879550708053,50.22,1.497,2.292513104355365,34.36432061126974,-1.0,-1.0,34.36432061126974,0.0,-5.182851380951263
2018-11-22,-1.2237901581000301,50.22,1.497,2.3094431995970384,34.36458928396795,1.0,1.0,-34.36458928396795,0.0,-5.182851380951263
2018-11-23,-1.223489278797139,50.22,1.497,2.3260248165112403,34.36438829578967,1.0,1.0,-34.36438829578967,1.4463395658076081,-3.736511815143655
2018-11-26,2.059012107741843,51.38,1.435,2.3270476238969606,34.370026405754814,1.0,1.0,-34.370026405754814,0.5064793048622024,-3.2300325102814527
2018-11-27,2.9523111191975033,51.56,1.414,2.326455287023227,34.37601759604137,-1.0,-1.0,34.37601759604137,-0.6317705360201727,-3.8618030463016253
2018-11-28,2.603762657601173,50.29,1.387,2.3255047579852506,34.38084884095085,-1.0,-1.0,34.38084884095085,1.4394212257367798,-2.4223818205648455
2018-11-29,1.7297790847673014,51.45,1.446,2.3263713961110777,34.38466176710422,-1.0,-1.0,34.38466176710422,-0.22768467525004543,-2.650066495814891
2018-11-30,1.5520008338558284,50.93,1.436,2.324365001698843,34.38579329118675,-1.0,-1.0,34.38579329118675,-0.01571674305931792,-2.665783238874209
2018-12-03,3.531658306357933,52.95,1.437,2.3200440141537473,34.389938548115566,-1.0,-1.0,34.389938548115566,0.018266037222420366,-2.6475172016517887
2018-12-04,3.7928010111961186,53.25,1.438,2.3123683861553377,34.39304519388309,-1.0,-1.0,34.39304519388309,-0.04107399182678772,-2.6885911934785764
2018-12-05,3.4963281977066387,52.89,1.436,2.3071203335252646,34.39670738321265,-1.0,-1.0,34.39670738321265,0.002516893295937725,-2.686074300182639
2018-12-06,2.126742663554033,51.49,1.435,2.3049484258276367,34.39948246442228,-1.0,-1.0,34.39948246442228,0.553570558340334,-2.1325037418423047
2018-12-07,2.412411008206284,52.61,1.459,2.3050989295674347,34.40547566264134,-1.0,-1.0,34.40547566264134,-1.2899640308226865,-3.4224677726649912
2018-12-10,2.7202615196679005,51.0,1.403,2.304926374575011,34.411787940365,-1.0,-1.0,34.411787940365,0.3551642527130808,-3.0673035199519103
2018-12-11,2.842152308856548,51.65,1.418,2.3049048698506995,34.42020288515053,-1.0,-1.0,34.42020288515053,-0.3301522085187721,-3.3974557284706823
2018-12-12,2.812292177385345,51.15,1.404,2.304894266750119,34.42856682522412,-1.0,-1.0,34.42856682522412,1.369783971605807,-2.0276717568648754
2018-12-13,2.272464906228109,52.58,1.461,2.304415433566513,34.43363113878979,-1.0,-1.0,34.43363113878979,-1.5528461931559105,-3.580517950020786
2018-12-14,3.189557101786015,51.2,1.394,2.3040167030798475,34.44077682798708,-1.0,-1.0,34.44077682798708,-1.011889213970913,-4.592407163991699
2018-12-17,3.306300096133725,49.88,1.352,2.30364957245057,34.448002887475056,-1.0,-1.0,34.448002887475056,-0.9207172506480532,-5.513124414639752
2018-12-18,1.0065682610422968,46.24,1.313,2.30575255243625,34.45044306089696,-1.0,-1.0,34.45044306089696,0.540902966557955,-4.972221448081797
2018-12-19,1.9235685169694676,47.92,1.335,2.3052672234645653,34.45425579253224,-1.0,-1.0,34.45425579253224,-1.1393998600756996,-6.111621308157496
2018-12-20,1.217948901541419,45.63,1.289,2.302859763098304,34.454655623319304,-1.0,-1.0,34.454655623319304,-0.5560651807023568,-6.667686488859853
2018-12-21,1.6993331001446137,45.39,1.268,2.3000344452207493,34.4563619084033,-1.0,-1.0,34.4563619084033,0.0,-6.667686488859853
2018-12-24,1.6972546880178285,45.39,1.268,2.2969490802598727,34.458001034686255,-1.0,-1.0,34.458001034686255,0.0,-6.667686488859853
2018-12-25,1.6952837688856448,45.39,1.268,2.293843826551643,34.45955538731416,-1.0,-1.0,34.45955538731416,0.9644672891909604,-5.703219199668893
2018-12-26,1.0838003893076191,46.02,1.304,2.2922657537033846,34.46027577507085,-1.0,-1.0,34.46027577507085,-0.6785331907832293,-6.381752390452122
2018-12-27,0.40438508241329885,44.41,1.277,2.2931432417617383,34.46015263710783,-1.0,-1.0,34.46015263710783,-0.25907973289269753,-6.640832123344819
2018-12-28,1.4337190067048695,45.13,1.268,2.2886896094454707,34.46078942688891,-1.0,-1.0,34.46078942688891,0.0,-6.640832123344819
2018-12-31,1.4334964105401795,45.13,1.268,2.283037734157683,34.460964975914685,-1.0,-1.0,34.460964975914685,0.0,-6.640832123344819
2019-01-01,1.431653344055107,45.13,1.268,2.279880897402285,34.46241849837926,-1.0,-1.0,34.46241849837926,0.6798312169615229,-5.961000906383297
2019-01-02,1.7431055599386127,46.34,1.294,2.275923804157102,34.46436973729628,-1.0,-1.0,34.46436973729628,0.49417681852398654,-5.46682408785931
2019-01-03,1.6350657586960864,46.89,1.313,2.2733957967609943,34.46681968111494,-1.0,-1.0,34.46681968111494,0.033946805054997,-5.432877282804313
2019-01-04,2.4296431041517934,47.76,1.315,2.2714167357871657,34.47175429342069,-1.0,-1.0,34.47175429342069,-0.4049392204337008,-5.837816503238013
2019-01-07,3.496233933723559,48.32,1.3,2.2710513992937478,34.47982005098188,-1.0,-1.0,34.47982005098188,0.18610734906564583,-5.651709154172368
2019-01-08,4.467930395480245,49.58,1.308,2.2726119753377767,34.48934985055027,-1.0,-1.0,34.48934985055027,1.4773071476894655,-4.174402006482902
2019-01-09,5.030781986351471,52.16,1.366,2.2765662815459082,34.50162372887886,-1.0,-1.0,34.50162372887886,0.147134958127906,-4.027267048354996
2019-01-10,5.038058108933427,52.39,1.372,2.280127105842716,34.51307718007767,-1.0,-1.0,34.51307718007767,-0.3330866447998472,-4.360353693154843
2019-01-11,4.508468250066613,51.39,1.358,2.2808427814103616,34.52248287918511,-1.0,-1.0,34.52248287918511,-0.9450036412780706,-5.305357334432913
2019-01-14,4.729016688697776,50.31,1.32,2.281109238544858,34.531047963107746,-1.0,-1.0,34.531047963107746,1.1192321096030984,-4.186125224829815
2019-01-15,4.795765070834435,51.91,1.364,2.282796670641223,34.54122795393369,-1.0,-1.0,34.54122795393369,0.705204643137753,-3.480920581692062
2019-01-16,4.014715482037538,52.11,1.392,2.2831791311757357,34.551210142214416,-1.0,-1.0,34.551210142214416,0.42656726002747214,-3.05435332166459
2019-01-17,3.1772451758297606,51.87,1.409,2.2814365531452783,34.55837815767937,-1.0,-1.0,34.55837815767937,0.3836043988288644,-2.6707489228357257
2019-01-18,4.305316126271414,53.6,1.426,2.2822144823365353,34.56850201523744,-1.0,-1.0,34.56850201523744,0.0,-2.6707489228357257
2019-01-21,4.29598251149492,53.6,1.426,2.2778419292461676,34.575047327142414,-1.0,-1.0,34.575047327142414,-0.9308620676333245,-3.6016109904690503
2019-01-22,4.846966929061985,52.81,1.387,2.270914990050538,34.58041317299064,-1.0,-1.0,34.58041317299064,-0.3416603013772202,-3.9432712918462705
2019-01-23,4.932403029145867,52.42,1.373,2.2669408045013943,34.58674214920185,-1.0,-1.0,34.58674214920185,-0.010682945440671388,-3.9539542372869416
2019-01-24,5.48245597547178,52.98,1.373,2.2655253343709587,34.59398690788654,-1.0,-1.0,34.59398690788654,-0.06096185003451366,-4.014916087321455
2019-01-25,6.100176269242546,53.54,1.371,2.268102171612562,34.602351371814336,-1.0,-1.0,34.602351371814336,-1.0778199638826425,-5.092736051204097
2019-01-28,5.862627995408893,51.79,1.327,2.2692716626502434,34.60992615266851,0.0,0.0,-0.0,0.0,-5.092736051204097
2019-01-29,7.264359906648586,53.31,1.33,2.2821749809132212,34.62078202507625,0.0,0.0,-0.0,0.0,-5.092736051204097
2019-01-30,6.511454326256711,54.23,1.378,2.285428702176953,34.628843014327494,0.0,0.0,-0.0,0.0,-5.092736051204097
2019-01-31,6.752732307343422,53.79,1.358,2.2903237437734085,34.63716324937892,0.0,0.0,-0.0,0.0,-5.092736051204097
2019-02-01,5.962686541997833,55.26,1.423,2.2857577892861363,34.64322800983989,0.0,0.0,-0.0,-0.0,-5.092736051204097
2019-02-04,5.081654042360299,54.56,1.428,2.2793990798147,34.648701651008196,0.0,0.0,-0.0,0.0,-5.092736051204097
2019-02-05,4.556412804519823,53.66,1.417,2.2709442492525636,34.65320197281593,-1.0,-1.0,34.65320197281593,0.6048606893732017,-4.487875361830896
2019-02-06,4.034630411191216,54.01,1.442,2.261190306212994,34.65698307129597,-1.0,-1.0,34.65698307129597,-0.6716194234172506,-5.159494785248146
2019-02-07,3.6667278222127138,52.64,1.413,2.2476991673244378,34.65907443580134,-1.0,-1.0,34.65907443580134,0.9551001320473305,-4.204394653200816
2019-02-08,2.3966517854116134,52.72,1.452,2.229233013643477,34.65795331583222,-1.0,-1.0,34.65795331583222,-0.32828747255825197,-4.5326821257590675
2019-02-11,2.567992886418814,52.41,1.438,2.221359317144858,34.660644724326275,-1.0,-1.0,34.660644724326275,0.1796615261239338,-4.353020599635133
2019-02-12,2.97268717593024,53.1,1.446,2.2174183161790237,34.6661914412654,-1.0,-1.0,34.6661914412654,1.0158097657261098,-3.3372108339090234
