Date,CRUDOIL,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-06-07,53.99,452.0,-4240.702192561093,2186.0991508776,0,0.0,0.0,-0.0,-0.0,3.3209285190166438
2019-06-10,53.26,458.0,-4298.778563436964,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
2019-06-11,53.27,464.5,-4360.89379855249,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
2019-06-12,51.14,444.0,-4167.090364726599,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
2019-06-13,52.28,454.0,-4261.527649519717,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
2019-06-14,52.51,460.0,-4318.644020395587,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
2019-06-17,51.93,458.5,-4304.887427676619,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
2019-06-18,53.9,468.0,-4393.715848230082,2186.0991508776,1,0.0,0.0,-0.0,-0.0,3.3209285190166438
2019-06-19,53.76,470.5,-4417.75016942836,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.41580863394214257,2.9051198850745013
2019-06-20,57.07,494.0,-4639.046788692187,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.15110133639824924,2.754018548676252
2019-06-21,57.28,502.0,-4715.298616526681,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.14095666256290615,2.894975211239158
2019-06-24,57.72,495.0,-4647.954517171498,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.11793025637369067,2.777044954865467
2019-06-25,57.6,501.0,-4705.420888047369,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.2115565572017248,2.5654883976637426
2019-06-26,59.15,513.5,-4823.342494038767,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.00829208397035381,2.557196313693389
2019-06-27,59.21,514.0,-4828.061358278422,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.0069160762086663,2.5502802374847224
2019-06-28,58.25,513.5,-4824.242494038766,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.03856313947051434,2.5888433769552366
2019-07-01,58.87,512.0,-4809.2859013197985,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.39977663355997556,2.9886200105152123
2019-07-02,56.03,488.0,-4582.740417816317,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.056032559649811506,2.932587450865401
2019-07-03,57.28,492.0,-4619.721331733564,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.3496729931455522,2.5829144577198484
2019-07-04,57.28,510.0,-4791.760444361175,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.1499251526166544,2.432989305103194
2019-07-05,57.28,518.0,-4868.22227219567,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0950493624920084,2.5280386675952022
2019-07-08,57.44,513.0,-4820.2736297991105,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.040047614654882956,2.568086282250085
2019-07-09,57.6,511.0,-4800.998172840486,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.14172719626833272,2.4263590859817525
2019-07-10,60.21,521.0,-4893.965457633604,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.4626102560897388,1.9637488298920136
2019-07-11,59.97,546.0,-5133.1486696163975,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.07035348894280158,2.0341023188348153
2019-07-12,59.99,542.0,-5094.897755699151,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.25384433605197015,2.2879466548867855
2019-07-15,59.35,527.0,-4952.171828509474,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.032855939342881224,2.255090715543904
2019-07-16,57.4,527.0,-4954.121828509475,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.11231860385812373,2.367409319402028
2019-07-17,56.56,520.0,-4888.057729154292,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.026166902404526238,2.3412424169975017
2019-07-18,55.08,520.0,-4889.537729154293,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.42873696814183876,2.7699793851393406
2019-07-19,55.41,497.0,-4669.379974130123,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.08162154009213352,2.851600925231474
2019-07-22,55.99,493.3,-4633.436378756669,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.030837363504488756,2.8207635617269853
2019-07-23,56.65,495.5,-4653.803381411155,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.12268293728967869,2.698080624437307
2019-07-24,55.71,501.0,-4707.310888047369,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.09789952559115486,2.795980150028462
2019-07-25,55.85,496.0,-4659.38224565081,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.022637634770349642,2.773342515258112
2019-07-26,56.2,497.5,-4673.368838369778,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.09837352357581307,2.871716038833925
2019-07-29,56.87,493.0,-4629.689060212875,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.0761852890740197,2.7955307497599056
2019-07-30,58.05,498.0,-4676.297702609434,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.22117665005201123,2.5743540997078944
2019-07-31,58.58,510.0,-4790.460444361175,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.2582943793212394,2.832648479029134
2019-08-01,53.95,492.0,-4623.0513317335635,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.2842376209892207,3.1168861000183545
2019-08-02,55.66,479.0,-4497.090861502511,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.012503019403436313,3.129389119421791
2019-08-05,54.69,477.5,-4483.724268783543,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.09070704802354156,3.2200961674453326
2019-08-06,53.63,472.0,-4432.216762147328,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.25637981979406704,3.4764759872393998
2019-08-07,51.09,457.0,-4291.390834957652,2186.0991508776,0,1.0,1.0,-9.557728479311752,0.3839204217269919,3.8603964089663916
2019-08-08,52.54,440.0,-4127.459450809352,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.8603964089663916
2019-08-09,54.5,435.0,-4077.710808412793,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.8603964089663916
2019-08-12,54.93,435.0,-4077.280808412793,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.8603964089663916
2019-08-13,57.1,458.0,-4294.938563436964,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.8603964089663916
2019-08-14,55.23,442.0,-4143.884907767976,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.8603964089663916
