Date,EIAEBRT,GOEUARA,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-06-26,40.97,330.5,-2637.0167847327957,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-29,41.58,339.5,-2707.81001136527,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-30,41.64,344.0,-2743.4516246815065,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-01,42.18,346.5,-2762.7458543016382,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-02,43.19,354.5,-2825.2053890860598,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-07-03,42.92,354.75,-2827.458812048073,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-07-06,42.73,360.25,-2871.2841172123626,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-07,43.28,356.25,-2838.999349820152,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-08,43.67,356.5,-2840.5927727821654,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-09,42.35,351.25,-2800.260890579889,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-10,43.27,355.25,-2831.075657972099,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-13,42.85,347.25,-2768.0261231876784,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-14,42.97,350.0,-2789.723775769823,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-15,43.96,355.0,-2828.402235010086,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-16,43.71,352.75,-2810.801428351968,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-17,43.53,350.5,-2793.130621693849,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-07-20,43.3,355.25,-2831.0456579720994,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-21,44.31,367.25,-2925.2399601487314,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-07-22,43.98,367.25,-2925.5699601487313,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-23,42.96,360.0,-2869.0706942503493,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-24,43.29,361.75,-2882.624654984442,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-27,43.39,361.0,-2876.574386098402,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-28,43.11,354.75,-2827.2688120480725,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-29,43.51,362.0,-2884.3880779464544,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-30,42.98,349.0,-2781.78008392177,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-07-31,43.13,350.25,-2791.547198731836,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-03,43.76,350.25,-2790.917198731836,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-04,43.99,357.75,-2850.1898875922316,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-05,44.92,364.25,-2900.8288846045734,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-06,45.04,359.0,-2859.0570024022973,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-07,44.07,353.0,-2812.424851313981,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-10,44.19,355.5,-2832.139080934113,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-08-11,43.68,359.5,-2864.3838483263235,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-12,45.09,364.25,-2900.6588846045734,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-13,44.87,362.25,-2885.0115009084684,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-08-14,44.86,362.25,-2885.0215009084677,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-17,44.91,365.0,-2906.789153490613,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-18,45.34,366.75,-2920.243114224705,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-19,45.21,364.0,-2898.5554616425607,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-20,44.56,357.75,-2849.619887592231,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-21,43.94,346.25,-2759.002431339625,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-24,44.43,355.25,-2829.9156579720993,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-25,46.01,362.0,-2881.8880779464544,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-26,45.79,357.5,-2846.4064646302177,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-27,44.84,347.25,-2766.0361231876777,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-28,45.22,350.0,-2787.473775769823,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-08-31,45.22,350.0,-2787.473775769823,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-01,45.72,349.25,-2781.0235068837837,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-02,42.7,335.5,-2674.9552439730587,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-03,42.72,324.25,-2585.6812106824664,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-04,41.1,318.75,-2543.6659055181763,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-07,40.67,313.25,-2500.4606003538865,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-08,38.53,297.0,-2373.6781078230306,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-09,39.98,306.0,-2443.6313344555047,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-10,39.27,299.25,-2390.788914481149,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-09-11,38.8,307.0,-2452.745026303557,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-14,38.57,306.5,-2449.008180379531,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-15,39.54,308.0,-2459.9387181516104,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-16,41.23,311.5,-2486.0166396197947,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-17,42.35,324.5,-2588.034633644479,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-18,42.16,321.25,-2562.4401351383085,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-21,40.37,306.0,-2443.2413344555043,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-22,40.84,304.25,-2428.8873737214126,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-23,41.09,305.0,-2434.587642607452,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-24,41.24,309.25,-2468.1558329616764,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-09-25,40.91,315.25,-2516.087984049992,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-28,41.59,321.75,-2566.976981062334,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-09-29,40.33,313.0,-2498.817177391873,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-09-30,40.3,321.5,-2566.283558100321,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-01,39.75,311.25,-2485.5132166577814,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-02,38.0,303.75,-2427.760527797386,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-05,39.78,319.75,-2552.919597366229,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-06,41.27,333.5,-2660.517860276954,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-07,40.62,332.0,-2649.2673225048748,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-08,42.0,342.5,-2731.191086909427,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-09,41.63,339.5,-2707.7600113652697,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-12,40.5,332.0,-2649.3873225048746,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-10-13,41.34,333.5,-2660.447860276953,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
